Trial 0: RMSE=0.9515564468187786, Params={'max_depth': 13, 'learning_rate': 0.12005968370057436, 'n_estimators': 728, 'min_child_weight': 6, 'subsample': 0.7834893964797197, 'colsample_bytree': 0.6658994912730001, 'reg_alpha': 0.5902664612973197, 'reg_lambda': 0.10143563906162922, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 1: RMSE=0.9043088522850259, Params={'max_depth': 20, 'learning_rate': 0.06485276493014339, 'n_estimators': 938, 'min_child_weight': 9, 'subsample': 0.5976722876588967, 'colsample_bytree': 0.8789235283937884, 'reg_alpha': 0.8831797977547171, 'reg_lambda': 0.5058088880892053, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 2: RMSE=0.8887117886964123, Params={'max_depth': 9, 'learning_rate': 0.25350196492577665, 'n_estimators': 547, 'min_child_weight': 8, 'subsample': 0.8638352253458991, 'colsample_bytree': 0.8205529099477262, 'reg_alpha': 0.6416965033155967, 'reg_lambda': 0.7745933452808694, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 3: RMSE=0.8749439767488632, Params={'max_depth': 14, 'learning_rate': 0.03408402197697991, 'n_estimators': 666, 'min_child_weight': 2, 'subsample': 0.9434315178026432, 'colsample_bytree': 0.5405721184103195, 'reg_alpha': 0.13450553376557262, 'reg_lambda': 0.39053597048449495, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 4: RMSE=0.9054238363361691, Params={'max_depth': 13, 'learning_rate': 0.05253728869087174, 'n_estimators': 442, 'min_child_weight': 4, 'subsample': 0.7993450203932135, 'colsample_bytree': 0.7120742660912103, 'reg_alpha': 0.6894131964006273, 'reg_lambda': 0.5503692153187563, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 5: RMSE=0.9377917779146564, Params={'max_depth': 8, 'learning_rate': 0.2939825399380511, 'n_estimators': 971, 'min_child_weight': 6, 'subsample': 0.6189937735298217, 'colsample_bytree': 0.5574965567154957, 'reg_alpha': 0.9895427209017165, 'reg_lambda': 0.029376259799188564, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 6: RMSE=0.9240479633469155, Params={'max_depth': 4, 'learning_rate': 0.1226694598333694, 'n_estimators': 478, 'min_child_weight': 1, 'subsample': 0.5336527524179837, 'colsample_bytree': 0.96068480633417, 'reg_alpha': 0.6526162629768012, 'reg_lambda': 0.12365186927132232, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 7: RMSE=0.9731995637787028, Params={'max_depth': 16, 'learning_rate': 0.2855523421849345, 'n_estimators': 363, 'min_child_weight': 6, 'subsample': 0.697253019621182, 'colsample_bytree': 0.8098554840282006, 'reg_alpha': 0.32838351612692374, 'reg_lambda': 0.3601947289257438, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 8: RMSE=0.9229381683916742, Params={'max_depth': 10, 'learning_rate': 0.21240335900749363, 'n_estimators': 811, 'min_child_weight': 7, 'subsample': 0.7213206294909219, 'colsample_bytree': 0.6148072411747946, 'reg_alpha': 0.1276395603600463, 'reg_lambda': 0.27873332729300027, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 9: RMSE=0.9112352460812484, Params={'max_depth': 9, 'learning_rate': 0.045764814294926695, 'n_estimators': 854, 'min_child_weight': 10, 'subsample': 0.5553831881646398, 'colsample_bytree': 0.6965412011533071, 'reg_alpha': 0.6398567390925034, 'reg_lambda': 0.11152988131380737, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 10: RMSE=0.9511885763718777, Params={'max_depth': 18, 'learning_rate': 0.015323947121033937, 'n_estimators': 108, 'min_child_weight': 2, 'subsample': 0.9843207673533391, 'colsample_bytree': 0.5066838592334094, 'reg_alpha': 0.025135977081791605, 'reg_lambda': 0.9715328561418193, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
